;Learn Tree;Learn VAR Model;Forecast
126;0;5531;0
127;0;5391;0
128;0;5781;0
129;0;6062;0
130;0;5954;0
131;0;5407;0
132;0;5563;0
133;0;5531;0
134;0;5547;0
135;0;5500;0
136;0;5531;0
137;0;5516;0
138;0;5578;0
139;0;8266;0
140;0;5594;0
141;0;5422;0
142;0;5562;0
143;0;8140;0
144;0;5531;0
145;0;8265;0
146;0;8266;0
147;0;8219;0
148;0;8312;0
149;0;8313;0
150;0;8172;0
151;0;8172;0
152;0;8344;0
153;0;5609;0
154;0;5922;0
155;0;5437;0
156;0;5407;0
157;0;5515;0
158;0;5625;0
159;0;5484;0
160;0;5453;0
161;0;5422;0
162;0;5516;0
163;0;5438;0
164;0;5531;0
165;0;5641;0
166;0;8235;0
167;0;8109;0
168;0;8328;0
169;0;8359;0
170;0;8312;0
171;0;8078;0
172;0;5641;0
173;0;5516;0
174;0;5484;0
175;0;5390;0
176;0;5469;0
177;0;5468;0
178;0;5328;0
179;0;5547;0
180;0;5672;0
181;0;5594;0
182;0;5360;0
183;0;5438;0
184;0;5516;0
185;0;5797;0
186;0;5500;0
187;0;5453;0
188;0;5578;0
189;0;5516;0
190;0;5531;0
191;0;5547;0
192;0;5500;0
193;0;8313;0
194;0;8328;0
195;0;8234;0
196;0;8344;0
197;0;8406;0
198;0;8344;0
199;0;8281;0
200;0;8250;0
201;0;8156;0
202;0;5547;0
203;0;5531;0
204;0;5500;0
205;0;5594;0
206;0;5453;0
207;0;5625;0
208;0;5454;0
209;0;5547;0
210;0;5422;0
211;0;5547;0
212;0;5422;0
213;0;5610;0
214;0;5484;0
215;0;5766;0
216;0;5484;0
217;0;5500;0
218;0;5610;0
219;0;5437;0
220;0;5563;0
221;0;5390;0
222;0;5532;0
223;0;5453;0
224;0;5594;0
225;0;8219;0
226;0;5469;0
227;0;5656;0
228;0;5500;0
229;0;5547;0
230;0;5391;0
231;0;5614;0
232;0;5406;0
233;0;5516;0
234;0;5469;0
235;0;5547;0
236;0;5609;0
237;0;5516;0
238;0;8531;0
239;0;8251;0
240;0;8172;0
241;0;8843;0
242;0;8219;0
243;0;5656;0
244;0;5312;0
245;0;5735;0
246;0;5453;0
247;0;5656;0
248;0;5625;0
249;0;5547;0
250;0;5703;0
251;0;5453;0
252;0;5793;0
253;0;5500;0
254;0;5609;0
255;0;5406;0
256;0;5516;0
257;0;5422;0
258;0;5547;0
259;0;5391;0
260;0;5453;0
261;0;5532;0
262;0;5453;0
263;0;5500;0
264;0;5390;0
265;0;5735;0
266;0;5484;0
267;0;5609;0
268;0;5500;0
269;0;5688;0
270;0;5594;0
271;0;5578;0
272;0;5610;0
273;0;5485;0
274;0;5688;0
275;0;5532;0
276;0;5625;0
277;0;5547;0
278;0;5672;0
279;0;5516;0
280;0;5593;0
281;0;8391;0
282;0;8328;0
