;const_AIC;const_HQ;const_SC;const_FPE;trend_AIC;trend_HQ;trend_SC;trend_FPE;both_AIC;both_HQ;both_SC;both_FPE;none_AIC;none_HQ;none_SC;none_FPE;
33;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;
34;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
35;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
36;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;8;
37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;
40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;
41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;
42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
44;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;
45;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;7;
46;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;
47;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;
48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
50;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;7;
51;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;
52;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;
53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
54;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;
55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
57;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;
58;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;9;
59;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
60;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
61;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
62;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10;
63;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10;
64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;
65;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
68;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;
