;const_AIC;const_HQ;const_SC;const_FPE;trend_AIC;trend_HQ;trend_SC;trend_FPE;both_AIC;both_HQ;both_SC;both_FPE;none_AIC;none_HQ;none_SC;none_FPE;
ID: 322;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 323;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 326;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;
ID: 327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 328;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 330;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 331;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 332;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;
ID: 333;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 334;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 335;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;
ID: 336;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 337;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 338;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 340;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;17;
ID: 341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;
ID: 342;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 343;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;8;
ID: 344;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 346;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 347;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 348;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;
ID: 349;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;16;
ID: 350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 352;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;8;
ID: 353;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;7;
ID: 354;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;7;
ID: 355;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;5;
ID: 356;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;
ID: 357;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;7;
ID: 358;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;8;
ID: 359;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 360;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 361;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;8;
