;temperatura;velocitavento;ozono;radiazionisolari;
65;0,5878684479216725;0,10718041809848383;0,05305202267501724;7,922021124044954E-4;
66;0,5021587550013087;0,16923913306880917;0,05706077593948954;8,02245290409211E-4;
67;0,574742258528261;0,09033483275545803;0,05117555023234163;0,0012146907381827654;
68;0,676519072758812;0,11863302376393356;0,06874224648323643;0,0010937705023831535;
69;0,3786730351580095;0,08859498791337672;0,05380008926613406;0,0013432121608559318;
70;0,4156819545991441;0,11698919339128129;0,05179010657869449;8,911052456944202E-4;
71;0,3682792521177241;0,08730245380623174;0,0445086984242396;8,323918114870992E-4;
72;0,44892834081649285;0,04281703856273234;0,03477860233243209;3,7923407604089054E-4;
73;0,4859361208989582;0,03987640294821945;0,032149238118883997;3,6124517829881175E-4;
74;0,40780660397264457;0,05384880026171813;0,037230300627115784;4,8650683055252676E-4;
75;0,36747492550007305;0,04370966149953655;0,02551035014159958;4,2938265583378096E-4;
76;0,3945925680963823;0,03992740420824955;0,024606402703391417;3,9002746887481553E-4;
77;0,5119533031020974;0,055893755644703426;0,030942175702964984;8,736584270836672E-4;
78;0,47299503852962604;0,06322134990570864;0,027182128084130935;6,738840941895837E-4;
79;0,44866007359380156;0,07176562023470365;0,0359249529295401;6,27824320783747E-4;
80;0,4365836957503504;0,08903794366009701;0,03179974726115463;4,98877526361485E-4;
81;0,5189552325052382;0,08536242453119655;0,030415064086723446;5,303846880856333E-4;
82;0,47511408388290344;0,0808216704594193;0,03159048588401015;5,821174497409979E-4;
83;0,5240870076463001;0,1059992382690773;0,03884993240275424;6,348069751874703E-4;
84;0,6216486693295431;0,08314397285438159;0,03445114571912371;5,590832172671622E-4;
85;0,3754177314451806;0,07479442327680497;0,021940974002254122;3,8801269244355207E-4;
86;0,4870356033003452;0,08238827056664753;0,026831004847795714;5,091578667695715E-4;
87;0,36565567328944765;0,08246850175390957;0,027353967536335476;4,870122989772183E-4;
88;0,2849825024793374;0,08626626131115747;0,02648736710310561;4,8570878123042573E-4;
89;0,3714208903945157;0,059167507364652726;0,025199672914365246;4,6156077274250764E-4;
90;0,5304772575410607;0,08277720592355392;0,0322088682093428;7,11348555951197E-4;
91;0,32786305215558;0,06803229449920241;0,023024440285474346;6,564597602556865E-4;
92;0,3521760409531653;0,07205503807804862;0,020646079753602324;5,251148848554654E-4;
93;0,38764128814813775;0,10187435460663898;0,051608722274082364;7,26624182586693E-4;
94;0,43042379015623444;0,1995584724720454;0,11396292612659138;4,061073935034884E-4;
95;0,496654662026636;0,23327705505769405;0,12590947904159794;7,193586797932943E-4;
96;0,49074920390897214;0,2735024868108108;0,16444849160008285;3,477301043583855E-4;
97;0,38934143164906543;0,2399795710658374;0,15473037971417836;5,57188180062647E-4;
98;0,4220194910499459;0,23100465428096062;0,13860781922555906;6,474577042541635E-4;
