;temperatura;velocitavento;ozono;radiazionisolari;temperatura;velocitavento;ozono;radiazionisolari
36;2,74947428;0,869008774;2,020884587;0,179798222;;;;
37;3,153172866;0,978963593;1,884015584;0,180738804;;;;
38;2,960488387;0,898980524;1,624293068;0,147828294;;;;
39;2,115280714;0,726417011;1,344729529;0,084672057;;;;
40;2,088404626;0,590391288;1,096165369;0,084668846;;;;
41;1,802480357;0,686968203;0,865276389;0,115322058;;;;
42;1,653871816;0,625834812;0,794774125;0,142964328;;;;
43;2,588081432;0,553749007;0,886246844;0,178700371;;;;
44;3,3967943;0,583042088;1,326621593;0,173910891;;;;
45;4,274179249;0,978340872;1,596986245;0,114770415;;;;
46;5,353365556;0,833829146;1,526771522;0,058003479;MAX;;;
47;4,411995881;0,792651871;1,424602981;0,029019442;;;;
48;2,595817837;0,789867282;1,230533558;0,014453295;;;;
49;2,371066211;0,491353862;1,05561856;0,007248013;;;;
50;3,271367678;0,596987688;1,004830249;0,003642772;;;;
51;1,961361564;0,516517015;0,897072875;0,001785752;;;;
52;1,939639572;0,413100228;0,706802022;8,93E-04;;;;
53;1,644914667;0,547899662;0,455723291;4,52E-04;;;;
54;1,569815441;0,570986451;0,426968352;2,26E-04;;;;
55;1,536416026;0,663324437;0,374013007;0,007111168;;;;
56;2,064228373;0,621705787;0,388958646;0,049741702;;;;
57;1,996360851;0,79976019;0,744279391;0,09957721;;;;
58;2,903699566;0,929016517;1,346582418;0,147731588;;;;
59;4,051570878;0,972482524;1,81088208;0,180726323;;;;
60;4,263714891;0,923927951;2,013356953;0,203517488;;;;
61;3,990635943;0,97921639;1,891300702;0,174592112;;;;
62;3,116722957;0,814345184;1,654688975;0,116331185;;;;
63;2,469173367;0,711694817;1,299679199;0,062796745;;;;
64;2,211894668;0,525708255;1,079245532;0,090727944;;;;
65;1,808785859;0,553257281;0,800309367;0,09753037;;;;
66;1,601163444;0,354248209;0,593942415;0,15042741;;;;
67;1,834101247;0,632439929;0,781305709;0,195558911;;;;
68;2,489403638;0,966264217;1,376961603;0,197215473;;;;
69;3,037821857;1,021472007;1,821934035;0,129997818;;;;
70;4,338145596;0,936093934;1,80460613;0,065760647;;;;
71;3,214424179;0,821349802;1,558670444;0,032839137;;;;
72;2,861850853;0,902096243;1,320279802;0,016357996;;;;
73;2,546049798;0,611415473;1,311733626;0,008194804;;;;
74;2,023365919;0,446256185;1,13425469;0,004103897;;;;
75;2,487288003;0,677985682;0,919561314;0,002040385;;;;
76;1,635583538;0,47302845;0,867747226;0,00103869;;;;
77;1,697939167;0,513351654;0,60065257;5,19E-04;;;;
78;1,442128147;0,304083052;0,51064997;2,60E-04;;MIN;;
79;1,638477594;0,66027287;0,494995228;0,008122258;;;;
80;1,177078767;0,743082188;0,272402376;0,056497966;;;MIN;
81;1,441127596;0,939017345;0,773964096;0,121976998;;;;
82;2,567607257;1,004224793;1,425596781;0,17223452;;;;
83;3,251339932;1,113089466;2,008851629;0,205037966;;;;
84;3,38620608;0,924146847;2,222489413;0,232431415;;;MAX;
85;2,884566339;0,798719026;2,157470681;0,189592928;;;;
86;2,186875382;0,603071677;1,871749392;0,123380614;;;;
87;2,04832556;0,496837014;1,510711486;0,090940713;;;;
88;1,506805751;0,559879302;1,204287127;0,065585239;;;;
89;1,306103757;0,837388253;0,758576501;0,129989349;;;;
90;1,170853138;0,577614354;0,537704011;0,193276869;MIN;;;
91;1,64152623;0,681601826;0,981970024;0,240615889;;;;MAX
92;2,48083017;1,035797204;1,734937921;0,229450827;;;;
93;3,276711007;1,428453074;2,091579937;0,145467806;;;;
94;3,547437908;1,227604852;1,903427706;0,073327697;;;;
95;4,01442261;1,892357718;1,71066965;0,03662602;;MAX;;
96;2,839398813;0,780345609;1,289290425;0,018292307;;;;
97;1,953081617;0,697743131;1,118767163;0,009165342;;;;
98;2,416163084;1,529088536;1,26266577;0,004604079;;;;
99;1,863290376;1,3463704;1,298856528;0,00228902;;;;
100;1,846024225;0,94913421;1,059680507;0,001163706;;;;
101;1,696223164;0,797207505;1,011102254;5,91E-04;;;;
min;1,17E+00;3,04E-01;2,72E-01;1,25E-04;;;;
max;5,35E+00;1,89E+00;2,22E+00;2,41E-01;;;;
